"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)","Verification","Evidence / Where Implemented","Issues / What is Missing"
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Common","Wymagania podstawowe","","Cały projekt napisany jest obiektowo. Logika domeny rozbita została na minimum trzy klasy z odpowiedzialnościami wyodrębnionymi w metodach publicznych i prywatnych. W kodzie nie ma długich funkcji proceduralnych ani powtarzającej się logiki w wielu miejscach.","6","6","PASS","20+ klas domenowych: kontrolery (AuthController, BetController, RouletteController, SlotController, AdminController, ProfileController, ErrorController, BaseController), modele (User, GameSession, Game, Promotion), serwisy (KMeansService, PromotionService, ReportService, SlotMachine, RouletteEngine + BetInterface/NumberBet/ColorBet/ParityBet), helpery (AuthMiddleware, Validation, FileUploader, Router). Każda klasa ma prywatne metody pomocnicze (np. BetController::parseFilters(), KMeansService::normalize(), GameSession::buildWhere()). DRY: logika paginacji, eksportu i walidacji wydzielona do osobnych klas.","Brak — wymaganie spełnione w pełni."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Common","Wymagania podstawowe","","Aplikacja zawiera formularz dodawania i edycji głównego zasobu, w którym wykorzystano co najmniej cztery różne typy pól: tekstowe, liczbowe lub datowe, listę wyboru (select lub radio) oraz pole wielowierszowe (textarea) lub checkboxa. Wszystkie dane są walidowane po stronie serwera — kontrolowana jest wymagalność pól, ich długość i poprawność formatu.","5","5","PASS","views/bets/create.phtml i views/bets/edit.phtml zawierają: (1) select — game_id, bet_type, kolor (red/black), parzystość (even/odd); (2) number — bet_amount, payout, bet_value_number; (3) radio — outcome (win/lose); (4) textarea — note (maxlength 500); (5) file — document upload. Walidacja serwerowa w BetController::validateBetForm() przez klasę Validation: required(), maxLength(), minLength(), numeric(), min(), inList().","Brak — wymaganie spełnione w pełni."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Common","Wymagania podstawowe","","Jeżeli walidacja zwróci błąd, formularz wraca do użytkownika z zachowanymi wcześniej wpisanymi wartościami (z wyjątkiem pól haseł). Użytkownik nie musi wpisywać wszystkiego od nowa — koryguje tylko pola wskazane jako niepoprawne.","3","3","PASS","src/Helpers/helpers.php: funkcja old($key, $default) odczytuje $_SESSION['old'][$key] z escaping przez htmlspecialchars(). Kontrolery (AuthController, BetController, ProfileController) przed redirectem zapisują stare wartości do $_SESSION['old'] i błędy do $_SESSION['errors']. Pola haseł zawsze puste po redirectie (nie są przechowywane). Flash messages wyświetlane z get_flashes() w views/layout/header.phtml.","Brak — wymaganie spełnione w pełni."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Common","Wymagania podstawowe","","Lista rekordów prezentowana jest w tabeli HTML z czytelnymi nagłówkami kolumn oraz akcjami edycji i usunięcia dostępnymi w każdym wierszu.","3","3","PASS","views/bets/index.phtml: tabela HTML z nagłówkami — Data, Gra, Typ, Wartość, Kwota, Wypłata, Wynik, Notatka, Dokument, Akcje. Nagłówki sortowalne (linki GET z param sort= i dir=). Kolumna Akcje: linki Edytuj (/bets/{id}/edit) i Usuń (POST /bets/{id}/delete z CSRF). Paginacja pod tabelą. Admin widzi wszystkich graczy, user tylko swoje wpisy.","Brak — wymaganie spełnione w pełni."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Common","Wymagania podstawowe","","Warstwa logiki (modele, kontrolery, klasy biznesowe) jest wyraźnie oddzielona od warstwy widoku. W szablonach HTML nie ma zapytań SQL ani złożonej logiki biznesowej — widoki służą wyłącznie do prezentacji danych przekazanych z kontrolera.","5","5","PASS","MVC ścisłe: SQL wyłącznie w src/Models/ (GameSession::paginate(), buildWhere(), User::findByEmail() itp.). Serwisy (KMeansService, PromotionService, ReportService) nie renderują HTML. Kontrolery przekazują gotowe tablice danych do BaseController::view(). Widoki (.phtml) zawierają tylko echo, pętle foreach, proste warunki oraz wywołania t() i e() — zero new Model() ani PDO.","Brak — wymaganie spełnione w pełni."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Common","Wymagania podstawowe","","Strona ma estetyczny wygląd z własnymi stylami CSS lub frameworkiem CSS z indywidualną customizacją. Kolorystyka jest spójna, typografia czytelna, a poszczególne sekcje aplikacji wyglądają jednolicie.","3","3","PASS","public/css/ — własny arkusz CSS. Widoki używają spójnych klas (.flash, .flash--success, .flash--error, .btn, .table). Layout oparty na views/layout/header.phtml i footer.phtml. Navbar w views/layout/navbar.phtml. Kolorystyka kasyno-tematyczna z oddzielnymi stylami gier.","Nie weryfikowano wizualnie pliku CSS — wymagane manualne sprawdzenie w przeglądarce."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Common","Wymagania podstawowe","","Aplikacja udostępnia komplet operacji CRUD (dodawanie, wyświetlanie, edycję i usuwanie) na głównym zasobie wynikającym z tematu projektu.","5","5","PASS","Zasób główny: game_sessions (zakłady). BetController: GET /bets (index/Read), GET /bets/create + POST /bets/store (Create), GET /bets/{id}/edit + POST /bets/{id}/update (Update), POST /bets/{id}/delete (Delete). GameSession model: create(), findById(), findByIdForUser(), update(), delete(), paginate(). Plik dokumentu usuwany przez FileUploader::delete() przed DELETE z bazy.","Brak — wymaganie spełnione w pełni."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Specific","Project-specific","","W ramach tematu projektu aplikacja realizuje następujące funkcjonalności:

1. Konto i saldo żetonów — Rejestracja konta z danymi (imię, nazwisko, e-mail, hasło) oraz startową pulą wirtualnych żetonów. Saldo aktualizuje się po każdym rozstrzygniętym zakładzie.

2. Ruletka — Gracz obstawia na numer, kolor (czarny/czerwony), parzyste/nieparzyste oraz zakresy. Wynik losowany serwerowo, wypłata zgodna z tabelą kursów.

3. Jednoręki bandyta — Gracz ustala wysokość zakładu przed grą; bębny losowane serwerowo, wygrana zależna od trafionej kombinacji.

4. Blackjack lub kości — Trzecia gra z własnymi regułami rozstrzygania zakładu.

5. Historia rozgrywki — Każdy zakład zapisywany jest z grą, kwotą, wynikiem i znacznikiem czasu; gracz przegląda własną historię, administrator — wszystkich graczy.

6. Bonusy i promocje — System przyznaje bonus żetonów (np. dzienny lub za serię gier) widoczny w saldzie i historii.

7. Raporty administratora — Administrator generuje raporty: aktywność graczy, statystyki gier, bilans żetonów kasyna.","22","22","PARTIAL","1. PASS — users.balance (domyślnie 1000), User::updateBalance(), aktualizacja salda w RouletteController::play() i SlotController::play() przez transakcję DB.
2. PASS — src/Services/Roulette/: RouletteEngine::spin()/play(), NumberBet (35:1), ColorBet (1:1), ParityBet (1:1); wynik losowany mt_rand() serwerowo; views/games/roulette.phtml z formularzem zakładu.
3. PASS — src/Services/SlotMachine.php: 3 bębny, 7 symboli (💎=50x, ⭐=20x, 🔔=15x, 🍇=10x, 🍊=8x, 🍋=5x, 🍒=3x), gracz ustawia bet_amount przed spinem; views/games/slots.phtml.
4. FAIL — BRAK trzeciej gry (Blackjack lub kości) — zaimplementowane tylko 2 gry.
5. PASS — tabela game_sessions z: user_id, game_id, bet_type, bet_value, bet_amount, outcome, payout, created_at; BetController::index() z filtrowaniem; admin widzi wszystkich graczy.
6. PASS — PromotionService: welcome bonus (rejestracja), deposit bonus (% od wpłaty), reward (top spenders); user_promotions tabela; historia bonusów w views/profile/deposit.phtml.
7. PASS — AdminController::reports() + ReportService: userActivity(20), gameStats(), overallStats(), topSpenders(5); views/admin/reports.phtml.","KRYTYCZNE: Brak trzeciej gry (Blackjack lub kości) — punkt 4 wymagania niespełniony."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Specific","Project-specific","","Dane przechowywane są w relacyjnej bazie danych (MySQL, PostgreSQL lub SQLite), a dostęp realizowany jest przez PDO w stylu obiektowym. Schemat zawiera minimum cztery tabele powiązane kluczami obcymi, w tym jedną relację many-to-many z dedykowaną tabelą łączącą (np. players ↔ games przez tabelę zakładów bets). Aplikacja umożliwia przesyłanie plików powiązanych z rekordami (np. miniatura gry lub awatar gracza), przy czym usunięcie rekordu usuwa również powiązany plik z dysku. Każdy rekord otrzymuje automatycznie ustawianą datę utworzenia. Kluczowe zmiany danych (np. korekta salda, modyfikacja gry) rejestrowane są w historii zmian z informacją kto i kiedy ich dokonał.","10","10","PARTIAL","PostgreSQL — PASS. PDO singleton (src/Helpers/Database.php) z named placeholders — PASS. 6 tabel w schemacie: users, games, game_sessions, promotions, user_promotions, player_segments — PASS (ponad minimum 4). Klucze obce: game_sessions.user_id→users, game_sessions.game_id→games, user_promotions.user_id→users, user_promotions.promotion_id→promotions, player_segments.user_id→users — PASS. Many-to-many nr 1: users↔games przez game_sessions; many-to-many nr 2: users↔promotions przez user_promotions — PASS. Upload plików (avatar: storage/uploads/avatars/, dokumenty: storage/uploads/documents/), FileUploader::delete() wywołany przed DELETE z bazy — PASS. created_at DEFAULT CURRENT_TIMESTAMP we wszystkich tabelach — PASS.","BRAK tabeli audit_log / history_log — wymaganie 'kluczowe zmiany danych rejestrowane są w historii zmian z informacją kto i kiedy ich dokonał' nie jest spełnione. Nie ma śladu kto zmienił saldo, kto zmodyfikował rekord gry itp."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Specific","Project-specific","","Aplikacja udostępnia rejestrację i logowanie. Hasła przechowywane są w postaci hashu (password_hash, bcrypt lub argon2) — nigdy jawnie. Bez zalogowania użytkownik nie ma dostępu do gier ani historii. System rozróżnia minimum trzy role (gracz, krupier, administrator) z różnymi poziomami uprawnień. Zalogowany użytkownik może ustawić co najmniej jedną preferencję (język interfejsu, motyw lub domyślne sortowanie), zapamiętywaną między wizytami.","8","8","PARTIAL","Rejestracja (first_name, last_name, email, password, lang_preference) — PASS. Login z session_regenerate_id(true) — PASS. password_hash(PASSWORD_ARGON2ID) + password_verify() — PASS. Blokada niezalogowanych: AuthMiddleware::requireLogin() we wszystkich chronionych trasach — PASS. CSRF na wszystkich formularzach POST — PASS. Preferencja językowa (lang_preference) zapisana w DB i sesji, zmieniana przez GET /lang/{code} — PASS. Avatar upload w edycji profilu — PASS.","KRYTYCZNE: TYLKO 2 ROLE (user, admin) — wymaganie mówi o minimum 3 rolach (gracz, krupier/dealer, administrator). Rola 'croupier/dealer' nie istnieje w schemacie ani w kontrolerach. Brak awatara w formularzu REJESTRACJI (tylko w edycji profilu — ProfileController::update())."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Specific","Project-specific","","Lista historii zakładów obsługuje wyszukiwanie oraz filtrowanie po minimum trzech niezależnych kryteriach (gracz, gra, zakres dat, wynik), paginację oraz sortowanie po wybranej kolumnie wykonywane po stronie serwera. Użytkownik może wyeksportować widoczne dane do pliku w formacie CSV, PDF lub JSON. Aplikacja udostępnia panel podsumowujący z danymi zagregowanymi (liczba zakładów, suma postawionych żetonów, bilans). Po wykonaniu operacji użytkownik widzi jednorazowy komunikat zwrotny, a odświeżenie strony po zapisaniu formularza nie powoduje ponownego wysłania danych (POST-Redirect-GET). Błędy aplikacji prezentowane są na osobnych, czytelnych stronach zamiast surowych komunikatów interpretera.","10","10","PARTIAL","7 kryteriów filtrowania: search (text/ILIKE), game_type (select), outcome (win/lose), date_from, date_to, min_amount, max_amount — PASS (ponad minimum 3). Paginacja serwerowa (15/stronę, GameSession::paginate()) z prev/next — PASS. Sortowanie serwerowe (5 kolumn, whitelist w BetController::safeSort()) — PASS. Export CSV (CsvExporter z UTF-8 BOM) — PASS. Export JSON (JsonExporter) — PASS. Panel agregacyjny: total_count, total_staked, total_payout, net_revenue (GameSession::aggregates()) — PASS. Flash messages po każdej operacji — PASS. PRG (zawsze redirect po POST) — PASS. Custom error pages 404/403/500 (views/errors/) — PASS.","BRAK eksportu PDF — wymaganie wymienia CSV, PDF lub JSON (przynajmniej jeden z tych formatów jest wystarczający wg treści, ale PDF jest ceniony). Paginacja nie pokazuje numerów stron — tylko przyciski Poprzednia/Następna."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Specific","Project-specific","","Aplikacja klasyfikuje graczy na trzy segmenty — Wieloryb, Casual oraz NiedzielnyJanusz — przy użyciu samodzielnie zaimplementowanego algorytmu K-means (k=3). Cechy wejściowe wyliczane są z historii zakładów, np.: łączna suma postawionych żetonów, średni zakład, liczba zakładów/sesji oraz częstotliwość gry. Algorytm napisany jest obiektowo w PHP lub udostępniony przez endpoint API zwracający JSON. Wyznaczony status gracza prezentowany jest na jego profilu oraz na pulpicie administratora. Wymagana jest dokumentacja doboru cech, normalizacji oraz interpretacji centroidów — jednoznaczne przypisanie, który klaster odpowiada któremu segmentowi.","12","12","PASS","src/Services/KMeansService.php — implementacja from-scratch (brak zewnętrznych bibliotek ML): k=3 (stała), max_iter=100, seed=42 (powtarzalność). Cechy: avg_bet, total_games, win_loss_ratio (ładowane z game_sessions przez loadFeatures()). Normalizacja min-max (normalize()). Dystans: euklidesowy (euclidean()). Etykiety: Wieloryb (najwyższy avg_bet centroidu), Niedzielny Janusz (najniższy total_games centroidu), Casual (pozostały). Wyniki utrwalane w player_segments (upsert ON CONFLICT). Admin: GET /admin/segments + POST /admin/segments/run — views/admin/segments.phtml z tabelą segmentów i statystykami.","Sprawdzić czy segment gracza widoczny na jego profilu (views/profile/show.phtml) — wymaganie mówi 'na jego profilu oraz na pulpicie administratora'. Brak formalnej dokumentacji doboru cech (wymóg mówi o dokumentacji interpretacji centroidów)."
"wprg-0010x-1a2b3c4d-5e6f-4708-9a0b-1c2d3e4f5061","project-17","active","100","Specific","Project-specific","","Interfejs jest w pełni przetłumaczony na język polski i angielski. Wszystkie teksty UI pochodzą z plików tłumaczeń (np. lang/pl.php, lang/en.php lub gettext) — w widokach nie ma napisów zaszytych na sztywno. Dostępny jest przełącznik języka, a wybór zapisywany jest jako preferencja gracza i zapamiętywany między wizytami. Przełączenie języka zmienia całość interfejsu bez utraty kontekstu strony.","8","8","PARTIAL","lang/pl.php + lang/en.php — 195 kluczy w obu plikach (kategorie: auth, nav, games, bets, admin, profile, validation, errors, pagination, kmeans, promo, deposit, general) — PASS. Helper t($key, $replace) z lazy-loadingiem języka — PASS. Przełącznik języka (GET /lang/{code}) z redirect na HTTP_REFERER — PASS. lang_preference zapisane w users.lang_preference i $_SESSION — PASS.","5 HARDKODOWANYCH NAPISÓW DO NAPRAWY: (1) views/admin/reports.phtml — 'Ostatnia gra' zamiast t('admin.last_game'); (2) views/bets/index.phtml — '{n} rekordów' zamiast t('bets.records_count'); (3) views/auth/register.phtml — 'Bonus powitalny: 1000 PLN' zamiast t('auth.welcome_bonus_hint'); (4) src/Controllers/ProfileController.php — hardkodowany string 'Konto zostało usunięte.' zamiast t('profile.deleted'); (5) views/errors/500.phtml — cała strona hardkodowana po polsku ('Wewnętrzny błąd serwera', 'Ekipa sprytnych szympansów') zamiast t()."
